# {'par': {'k': 0; 'D': 0.1; 'v': 0.5; 'tau': 20.0; 'R': 0.5; 'label': '(tau_20)'}; 'guess_range': ([-275; 25; 75]; [0; 100; 20]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
-0.03389,0.0,[1. 0.],0.0,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-8.02038844e+02,  1.28269196e-04, -8.02038806e+02]), 'qtf': array([0., 0.]), 'fvec': array([0., 0.])}",14
-0.1462,-4.803,[-0.14619838 -4.80339595],2.061798643431261e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99975465, -0.02215018],
       [ 0.02215018, -0.99975465]]), 'r': array([-7.62529476e+02,  5.76610594e-04, -7.62529451e+02]), 'qtf': array([-1.16678926e-14, -2.05849452e-13]), 'fvec': array([7.10542736e-15, 2.06057393e-13])}",5
-0.1462,4.803,[9. 5.],2.061798643431261e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99975465,  0.02215018],
       [-0.02215018, -0.99975465]]), 'r': array([-7.62529476e+02,  5.45596933e-04, -7.62529477e+02]), 'qtf': array([-1.16678926e-14,  2.05849452e-13]), 'fvec': array([ 7.10542736e-15, -2.06057393e-13])}",5
-0.2453,10.03,[ 1. 10.],4.56744834790178e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99986323,  0.01653853],
       [-0.01653853, -0.99986323]]), 'r': array([-7.55733483e+02,  1.14064459e-03, -7.55733492e+02]), 'qtf': array([6.65867999e-15, 4.56696295e-13]), 'fvec': array([-1.42108547e-14, -4.56523708e-13])}",3
-0.2453,-10.03,[ -0.24528421 -10.02761763],4.56744834790178e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99986323, -0.01653853],
       [ 0.01653853, -0.99986323]]), 'r': array([-7.55733483e+02,  1.15943115e-03, -7.55733447e+02]), 'qtf': array([ 6.65867999e-15, -4.56696295e-13]), 'fvec': array([-1.42108547e-14,  4.56523708e-13])}",3
-0.3198,14.97,[ 1. 15.],4.548028586499771e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99990428,  0.01383563],
       [-0.01383563, -0.99990428]]), 'r': array([-7.53102616e+02,  1.70754987e-03, -7.53102618e+02]), 'qtf': array([ 1.33964615e-14, -4.54605516e-13]), 'fvec': array([-7.10542736e-15,  4.54747351e-13])}",4
-0.3198,-14.97,[ -0.31980104 -14.97220967],4.548028586499771e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99990428, -0.01383563],
       [ 0.01383563, -0.99990428]]), 'r': array([-7.53102616e+02,  1.70277372e-03, -7.53102571e+02]), 'qtf': array([1.33964615e-14, 4.54605516e-13]), 'fvec': array([-7.10542736e-15, -4.54747351e-13])}",4
-0.3839,19.93,[ 1. 20.],1.1890980979373155e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99992651,  0.0121233 ],
       [-0.0121233 , -0.99992651]]), 'r': array([-7.51562923e+02,  2.24666887e-03, -7.51562921e+02]), 'qtf': array([-2.70198263e-14, -1.15799274e-13]), 'fvec': array([2.84217094e-14, 1.15463195e-13])}",6
-0.3839,-19.93,[ -0.38387943 -19.93012491],1.1890980979373155e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99992651, -0.0121233 ],
       [ 0.0121233 , -0.99992651]]), 'r': array([-7.51562923e+02,  2.27426118e-03, -7.51562873e+02]), 'qtf': array([-2.70198263e-14,  1.15799274e-13]), 'fvec': array([ 2.84217094e-14, -1.15463195e-13])}",6
-0.4409,24.9,[ 1. 25.],3.3682170375282175e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9999404 ,  0.01091781],
       [-0.01091781, -0.9999404 ]]), 'r': array([-7.50524882e+02,  2.82042600e-03, -7.50524860e+02]), 'qtf': array([2.47557766e-14, 3.35910720e-13]), 'fvec': array([-2.84217094e-14, -3.35620420e-13])}",6
-0.4409,-24.9,[ -0.44094207 -24.89645481],3.3682170375282175e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9999404 , -0.01091781],
       [ 0.01091781, -0.9999404 ]]), 'r': array([-7.50524882e+02,  2.81155376e-03, -7.50524787e+02]), 'qtf': array([ 2.47557766e-14, -3.35910720e-13]), 'fvec': array([-2.84217094e-14,  3.35620420e-13])}",6
-0.4929,29.87,[ 5. 30.],1.722008236190431e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99994989,  0.01001094],
       [-0.01001094, -0.99994989]]), 'r': array([-7.49765116e+02,  3.37019346e-03, -7.49765091e+02]), 'qtf': array([3.25037662e-14, 1.72170145e-12]), 'fvec': array([-4.97379915e-14, -1.72128978e-12])}",6
