# {'par': {'k': 10; 'D': 0.1; 'v': 0.25; 'tau': 1.0; 'R': 0.9; 'label': '(v_0.25)'}; 'guess_range': ([-275; 24; 150]; [0; 100; 50]); 'tols': (1e-09; 0.05; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
9.355,0.0,[10.04666667  0.        ],2.0371260234242072e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-3.46004090e+04,  1.26662850e-03, -3.46003995e+04]), 'qtf': array([-2.03712602e-11,  0.00000000e+00]), 'fvec': array([2.03712602e-11, 0.00000000e+00])}",16
7.312,0.0,[8.05333333 0.        ],6.501466032204917e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([ 1.44544583e+03, -2.15470791e-05,  1.44544567e+03]), 'qtf': array([6.50146603e-13, 0.00000000e+00]), 'fvec': array([-6.50146603e-13,  0.00000000e+00])}",16
3.499,0.0,[4.06666667 0.        ],8.881784197001252e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-2.16418559e+01,  2.98023224e-07, -2.16418544e+01]), 'qtf': array([8.8817842e-15, 0.0000000e+00]), 'fvec': array([-8.8817842e-15,  0.0000000e+00])}",20
0.3024,2.876,[0.08 2.  ],9.930136612989092e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.92355909,  0.38345612],
       [-0.38345612, -0.92355909]]), 'r': array([-3.25651284e+00, -2.49794885e-07, -3.25651324e+00]), 'qtf': array([ 7.50720082e-16, -6.49996531e-16]), 'fvec': array([-4.4408921e-16,  8.8817842e-16])}",29
0.3024,-2.876,[ 0.30243143 -2.87595689],9.930136612989092e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.92355909, -0.38345612],
       [ 0.38345612, -0.92355909]]), 'r': array([-3.25651284e+00,  4.17920281e-07, -3.25651318e+00]), 'qtf': array([7.50720082e-16, 6.49996531e-16]), 'fvec': array([-4.4408921e-16, -8.8817842e-16])}",29
-1.642,7.724,[-1.91333333  4.        ],5.23691153334427e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.93988766,  0.34148381],
       [-0.34148381, -0.93988766]]), 'r': array([-3.29004110e+00,  2.26193044e-07, -3.29004116e+00]), 'qtf': array([-3.22613169e-16, -4.12520505e-16]), 'fvec': array([4.44089210e-16, 2.77555756e-16])}",27
-1.642,-7.724,[-1.64168717 -7.72433216],5.23691153334427e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.93988766, -0.34148381],
       [ 0.34148381, -0.93988766]]), 'r': array([-3.29004110e+00,  2.29140338e-07, -3.29004097e+00]), 'qtf': array([-3.22613169e-16,  4.12520505e-16]), 'fvec': array([ 4.44089210e-16, -2.77555756e-16])}",27
-3.285,-12.71,[ -3.28466257 -12.71023938],1.5632082117998628e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95753241, -0.28832566],
       [ 0.28832566, -0.95753241]]), 'r': array([-3.26851102e+00,  2.91705412e-07, -3.26851077e+00]), 'qtf': array([-8.57372617e-16, -1.30710830e-15]), 'fvec': array([4.44089210e-16, 1.49880108e-15])}",32
-3.285,12.71,[-3.90666667 10.        ],1.5632082117998628e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95753241,  0.28832566],
       [-0.28832566, -0.95753241]]), 'r': array([-3.26851102e+00,  4.20391394e-07, -3.26851098e+00]), 'qtf': array([-8.57372617e-16,  1.30710830e-15]), 'fvec': array([ 4.44089210e-16, -1.49880108e-15])}",32
-4.71,-17.81,[ -4.70993822 -17.8071067 ],3.66205343881779e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96763015, -0.25237251],
       [ 0.25237251, -0.96763015]]), 'r': array([-3.23924522e+00,  4.53580950e-07, -3.23924500e+00]), 'qtf': array([-3.71790492e-17, -3.66186470e-15]), 'fvec': array([-8.88178420e-16,  3.55271368e-15])}",35
