# {'par': {'k': 20; 'D': 0.1; 'v': 0.5; 'tau': 1.0; 'R': 0.9; 'label': '(k_20)'}; 'guess_range': ([-275; 24; 150]; [0; 100; 50]); 'tols': (1e-09; 0.05; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
18.79,0.0,[20.01333333  0.        ],1.0335974565123252e-06,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-3.31603568e+09,  1.15270722e+02, -3.31603384e+09]), 'qtf': array([1.03359746e-06, 0.00000000e+00]), 'fvec': array([-1.03359746e-06,  0.00000000e+00])}",6
16.68,0.0,[16.02666667  0.        ],8.706901155619562e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([ 1.25038174e+08, -1.86321354e+00,  1.25038139e+08]), 'qtf': array([-8.70690116e-08,  0.00000000e+00]), 'fvec': array([8.70690116e-08, 0.00000000e+00])}",10
12.7,0.0,[12.04  0.  ],1.8747101648866567e-09,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+00, -4.82623815e-21],
       [ 4.82623815e-21, -1.00000000e+00]]), 'r': array([-1.32678117e+06, -6.40336068e-15, -1.32678092e+06]), 'qtf': array([ 1.87471016e-09, -3.05758667e-15]), 'fvec': array([-1.87471016e-09,  3.05758667e-15])}",8
6.732,0.0,[6.06 0.  ],1.3500311979441904e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+00,  1.85879075e-24],
       [-1.85879075e-24, -1.00000000e+00]]), 'r': array([ 2.31762435e+03, -4.30797812e-21,  2.31762404e+03]), 'qtf': array([-1.35003120e-12, -2.06976212e-21]), 'fvec': array([1.35003120e-12, 2.06976212e-21])}",20
2.407,0.0,[0.08 0.  ],5.684341886080802e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-7.36659601e+01,  9.53674316e-07, -7.36659602e+01]), 'qtf': array([5.68434189e-14, 0.00000000e+00]), 'fvec': array([-5.68434189e-14,  0.00000000e+00])}",38
1.078,-5.384,[0.08 2.  ],1.0658141036401503e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.94666005, -0.322234  ],
       [ 0.322234  , -0.94666005]]), 'r': array([-7.53464543e+01,  1.95764771e-06, -7.53464528e+01]), 'qtf': array([3.43441542e-14, 1.00896363e-13]), 'fvec': array([ 0.0000000e+00, -1.0658141e-13])}",33
1.078,5.384,[1.07786252 5.38426486],1.0658141036401503e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.94666005,  0.322234  ],
       [-0.322234  , -0.94666005]]), 'r': array([-7.53464543e+01,  4.55299250e-06, -7.53464549e+01]), 'qtf': array([ 3.43441542e-14, -1.00896363e-13]), 'fvec': array([0.0000000e+00, 1.0658141e-13])}",33
-0.6267,10.69,[-1.91333333 10.        ],6.204547701064548e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95789006,  0.28713523],
       [-0.28713523, -0.95789006]]), 'r': array([-7.55403749e+01,  1.51030682e-05, -7.55403716e+01]), 'qtf': array([ 3.72942123e-15, -6.19332918e-14]), 'fvec': array([1.42108547e-14, 6.03961325e-14])}",27
-0.6267,-10.69,[ -0.62666566 -10.68924712],6.204547701064548e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95789006, -0.28713523],
       [ 0.28713523, -0.95789006]]), 'r': array([-7.55403749e+01, -1.86065782e-06, -7.55403669e+01]), 'qtf': array([3.72942123e-15, 6.19332918e-14]), 'fvec': array([ 1.42108547e-14, -6.03961325e-14])}",27
-2.127,16.02,[-1.91333333 14.        ],8.316689495813723e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96664426,  0.25612277],
       [-0.25612277, -0.96664426]]), 'r': array([-7.59076649e+01,  1.20427898e-05, -7.59076653e+01]), 'qtf': array([7.45520354e-15, 8.28320732e-14]), 'fvec': array([-2.84217094e-14, -7.81597009e-14])}",29
-2.127,-16.02,[ -2.12742762 -16.02062411],8.316689495813723e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96664426, -0.25612277],
       [ 0.25612277, -0.96664426]]), 'r': array([-7.59076649e+01,  7.76261907e-06, -7.59076605e+01]), 'qtf': array([ 7.45520354e-15, -8.28320732e-14]), 'fvec': array([-2.84217094e-14,  7.81597009e-14])}",29
-3.473,21.38,[-3.90666667 20.        ],1.075246270717511e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97275454,  0.23183744],
       [-0.23183744, -0.97275454]]), 'r': array([-7.59342383e+01,  1.43329989e-05, -7.59342393e+01]), 'qtf': array([ 1.08858879e-14, -1.06972159e-13]), 'fvec': array([1.42108547e-14, 1.06581410e-13])}",34
-3.473,-21.38,[ -3.47304865 -21.37990608],1.075246270717511e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97275454, -0.23183744],
       [ 0.23183744, -0.97275454]]), 'r': array([-7.59342383e+01,  1.22105641e-05, -7.59342328e+01]), 'qtf': array([1.08858879e-14, 1.06972159e-13]), 'fvec': array([ 1.42108547e-14, -1.06581410e-13])}",34
-4.699,26.77,[-5.9 24. ],2.9777166713245526e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97718781,  0.21237697],
       [-0.21237697, -0.97718781]]), 'r': array([-7.57998356e+01,  1.60911121e-05, -7.57998365e+01]), 'qtf': array([-2.96596345e-14,  2.64305485e-15]), 'fvec': array([ 2.84217094e-14, -8.88178420e-15])}",32
-4.699,-26.77,[ -4.69947896 -26.7725817 ],2.9777166713245526e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97718781, -0.21237697],
       [ 0.21237697, -0.97718781]]), 'r': array([-7.57998356e+01,  1.76338603e-05, -7.57998292e+01]), 'qtf': array([-2.96596345e-14, -2.64305485e-15]), 'fvec': array([2.84217094e-14, 8.88178420e-15])}",32
-5.831,-32.2,[ -5.83133718 -32.19900736],1.5888218580782548e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98049993, -0.19651943],
       [ 0.19651943, -0.98049993]]), 'r': array([-7.55937698e+01,  1.76881588e-05, -7.55937624e+01]), 'qtf': array([ 1.58856581e-13, -2.85231518e-15]), 'fvec': array([-1.56319402e-13, -2.84217094e-14])}",35
-5.831,32.2,[-3.90666667 14.        ],1.5888218580782548e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98049993,  0.19651943],
       [-0.19651943, -0.98049993]]), 'r': array([-7.55937698e+01,  2.21704488e-05, -7.55937696e+01]), 'qtf': array([1.58856581e-13, 2.85231518e-15]), 'fvec': array([-1.56319402e-13,  2.84217094e-14])}",35
-6.886,37.66,[-9.88666667 36.        ],2.597371452343714e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98304317,  0.18337427],
       [-0.18337427, -0.98304317]]), 'r': array([-7.53593044e+01,  2.37895761e-05, -7.53593059e+01]), 'qtf': array([ 6.15276513e-14, -2.52344472e-13]), 'fvec': array([-1.42108547e-14,  2.59348099e-13])}",38
-6.886,-37.66,[ -6.88626188 -37.65759513],2.597371452343714e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98304317, -0.18337427],
       [ 0.18337427, -0.98304317]]), 'r': array([-7.53593044e+01,  2.33819208e-05, -7.53592968e+01]), 'qtf': array([6.15276513e-14, 2.52344472e-13]), 'fvec': array([-1.42108547e-14, -2.59348099e-13])}",38
-7.877,-43.15,[ -7.87726111 -43.14611711],8.644125458514252e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98504394, -0.1723033 ],
       [ 0.1723033 , -0.98504394]]), 'r': array([-7.51180359e+01,  2.75801564e-05, -7.51180280e+01]), 'qtf': array([-2.86897792e-14, -8.15413212e-14]), 'fvec': array([1.42108547e-14, 8.52651283e-14])}",34
-7.877,43.15,[-7.89333333 30.        ],8.644125458514252e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98504394,  0.1723033 ],
       [-0.1723033 , -0.98504394]]), 'r': array([-7.51180359e+01,  2.65495723e-05, -7.51180376e+01]), 'qtf': array([-2.86897792e-14,  8.15413212e-14]), 'fvec': array([ 1.42108547e-14, -8.52651283e-14])}",34
-8.814,48.66,[-9.88666667 46.        ],2.324725362491393e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9866514 ,  0.16284658],
       [-0.16284658, -0.9866514 ]]), 'r': array([-7.48807198e+01,  3.18545918e-05, -7.48807205e+01]), 'qtf': array([4.89078940e-14, 2.27269659e-13]), 'fvec': array([-8.52651283e-14, -2.16271445e-13])}",36
-8.814,-48.66,[ -8.81418696 -48.66223264],2.324725362491393e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9866514 , -0.16284658],
       [ 0.16284658, -0.9866514 ]]), 'r': array([-7.48807198e+01,  2.84890582e-05, -7.48807106e+01]), 'qtf': array([ 4.89078940e-14, -2.27269659e-13]), 'fvec': array([-8.52651283e-14,  2.16271445e-13])}",36
